Bike Id,Duration,End Date,End Station Id,End Station Name,Id,Start Date,Start Station Id,Start Station Name,Subscription Type
360,242,1/13/2015 13:29,74,Steuart at Market,602101,1/13/2015 13:25,82,Broadway St at Battery St,Subscriber
589,271,1/13/2015 13:31,45,Commercial at Montgomery,602107,1/13/2015 13:27,42,Davis at Jackson,Subscriber
302,488,1/13/2015 13:36,5,Adobe on Almaden,602112,1/13/2015 13:28,6,San Pedro Square,Subscriber
599,663,1/13/2015 13:39,67,Market at 10th,602111,1/13/2015 13:28,56,Beale at Market,Subscriber
158,148,1/13/2015 13:30,82,Broadway St at Battery St,602110,1/13/2015 13:28,73,Grant Avenue at Columbus Avenue,Subscriber
425,416,1/13/2015 13:36,60,Embarcadero at Sansome,602114,1/13/2015 13:29,74,Steuart at Market,Subscriber
528,235,1/13/2015 13:33,74,Steuart at Market,602113,1/13/2015 13:29,77,Market at Sansome,Subscriber
366,231,1/13/2015 13:34,65,Townsend at 7th,602116,1/13/2015 13:30,69,San Francisco Caltrain 2 (330 Townsend),Customer
672,712,1/13/2015 13:42,65,Townsend at 7th,602115,1/13/2015 13:30,63,Howard at 2nd,Subscriber
586,454,1/13/2015 13:40,65,Townsend at 7th,602117,1/13/2015 13:32,72,Civic Center BART (7th at Market),Subscriber
383,499,1/13/2015 13:45,70,San Francisco Caltrain (Townsend at 4th),602119,1/13/2015 13:37,57,5th at Howard,Subscriber
380,489,1/13/2015 13:47,61,2nd at Townsend,602120,1/13/2015 13:39,77,Market at Sansome,Subscriber
360,290,1/13/2015 13:48,82,Broadway St at Battery St,602121,1/13/2015 13:43,74,Steuart at Market,Subscriber
555,470,1/13/2015 13:52,45,Commercial at Montgomery,602122,1/13/2015 13:44,50,Harry Bridges Plaza (Ferry Building),Subscriber
556,717,1/13/2015 13:57,39,Powell Street BART,602127,1/13/2015 13:45,69,San Francisco Caltrain 2 (330 Townsend),Subscriber
32,430,1/13/2015 13:53,80,Santa Clara County Civic Center,602124,1/13/2015 13:46,84,Ryland Park,Subscriber
537,684,1/13/2015 13:57,39,Powell Street BART,602123,1/13/2015 13:46,49,Spear at Folsom,Subscriber
631,433,1/13/2015 13:55,45,Commercial at Montgomery,602126,1/13/2015 13:47,39,Powell Street BART,Subscriber
544,349,1/13/2015 13:53,57,5th at Howard,602125,1/13/2015 13:47,72,Civic Center BART (7th at Market),Subscriber
465,488,1/13/2015 14:00,82,Broadway St at Battery St,602129,1/13/2015 13:52,56,Beale at Market,Subscriber
324,454,1/13/2015 13:59,67,Market at 10th,602128,1/13/2015 13:52,39,Powell Street BART,Subscriber
409,194,1/13/2015 13:58,57,5th at Howard,602131,1/13/2015 13:54,63,Howard at 2nd,Subscriber
504,267,1/13/2015 14:00,76,Market at 4th,602132,1/13/2015 13:56,72,Civic Center BART (7th at Market),Subscriber
127,480,1/13/2015 14:05,30,Evelyn Park and Ride,602136,1/13/2015 13:57,28,Mountain View Caltrain Station,Customer
381,427,1/13/2015 14:04,72,Civic Center BART (7th at Market),602135,1/13/2015 13:57,47,Post at Kearny,Subscriber
214,423,1/13/2015 14:04,72,Civic Center BART (7th at Market),602134,1/13/2015 13:57,47,Post at Kearny,Subscriber
399,310,1/13/2015 14:02,69,San Francisco Caltrain 2 (330 Townsend),602133,1/13/2015 13:57,64,2nd at South Park,Subscriber
63,464,1/13/2015 14:05,30,Evelyn Park and Ride,602137,1/13/2015 13:58,28,Mountain View Caltrain Station,Customer
440,803,1/13/2015 14:15,60,Embarcadero at Sansome,602140,1/13/2015 14:01,56,Beale at Market,Customer
507,1192,1/13/2015 14:22,71,Powell at Post (Union Square),602143,1/13/2015 14:02,51,Embarcadero at Folsom,Customer
318,388,1/13/2015 14:08,60,Embarcadero at Sansome,602142,1/13/2015 14:02,41,Clay at Battery,Subscriber
608,792,1/13/2015 14:15,60,Embarcadero at Sansome,602141,1/13/2015 14:02,56,Beale at Market,Customer
424,256,1/13/2015 14:07,63,Howard at 2nd,602144,1/13/2015 14:03,56,Beale at Market,Subscriber
585,533,1/13/2015 14:13,68,Yerba Buena Center of the Arts (3rd @ Howard),602145,1/13/2015 14:04,67,Market at 10th,Subscriber
291,317,1/13/2015 14:11,39,Powell Street BART,602149,1/13/2015 14:06,77,Market at Sansome,Subscriber
513,997,1/13/2015 14:22,71,Powell at Post (Union Square),602148,1/13/2015 14:06,51,Embarcadero at Folsom,Customer
322,255,1/13/2015 14:13,76,Market at 4th,602151,1/13/2015 14:09,75,Mechanics Plaza (Market at Battery),Subscriber
415,404,1/13/2015 14:19,72,Civic Center BART (7th at Market),602152,1/13/2015 14:13,77,Market at Sansome,Subscriber
631,156,1/13/2015 14:22,77,Market at Sansome,602154,1/13/2015 14:19,45,Commercial at Montgomery,Subscriber
537,365,1/13/2015 14:25,69,San Francisco Caltrain 2 (330 Townsend),602153,1/13/2015 14:19,39,Powell Street BART,Subscriber
457,523,1/13/2015 14:29,70,San Francisco Caltrain (Townsend at 4th),602155,1/13/2015 14:20,75,Mechanics Plaza (Market at Battery),Subscriber
179,460,1/13/2015 14:29,10,San Jose City Hall,602156,1/13/2015 14:21,3,San Jose Civic Center,Subscriber
322,194,1/13/2015 14:31,77,Market at Sansome,602158,1/13/2015 14:28,76,Market at 4th,Subscriber
632,169,1/13/2015 14:33,72,Civic Center BART (7th at Market),602159,1/13/2015 14:30,66,South Van Ness at Market,Subscriber
672,517,1/13/2015 14:44,72,Civic Center BART (7th at Market),602162,1/13/2015 14:35,65,Townsend at 7th,Subscriber
585,351,1/13/2015 14:41,70,San Francisco Caltrain (Townsend at 4th),602161,1/13/2015 14:35,68,Yerba Buena Center of the Arts (3rd @ Howard),Subscriber
404,342,1/13/2015 14:42,77,Market at Sansome,602163,1/13/2015 14:37,61,2nd at Townsend,Subscriber
291,2060,1/13/2015 15:16,67,Market at 10th,602166,1/13/2015 14:42,39,Powell Street BART,Customer
513,325,1/13/2015 14:52,82,Broadway St at Battery St,602168,1/13/2015 14:47,71,Powell at Post (Union Square),Subscriber
493,688,1/13/2015 15:01,70,San Francisco Caltrain (Townsend at 4th),602171,1/13/2015 14:49,50,Harry Bridges Plaza (Ferry Building),Subscriber
373,731,1/13/2015 15:01,50,Harry Bridges Plaza (Ferry Building),602169,1/13/2015 14:49,67,Market at 10th,Subscriber
611,485,1/13/2015 14:59,57,5th at Howard,602172,1/13/2015 14:50,69,San Francisco Caltrain 2 (330 Townsend),Subscriber
503,375,1/13/2015 14:56,61,2nd at Townsend,602170,1/13/2015 14:50,51,Embarcadero at Folsom,Subscriber
451,446,1/13/2015 14:59,62,2nd at Folsom,602173,1/13/2015 14:52,61,2nd at Townsend,Subscriber
377,693,1/13/2015 15:06,47,Post at Kearny,602174,1/13/2015 14:54,58,San Francisco City Hall,Subscriber
360,168,1/13/2015 14:58,41,Clay at Battery,602175,1/13/2015 14:55,82,Broadway St at Battery St,Subscriber
305,314,1/13/2015 15:02,6,San Pedro Square,602176,1/13/2015 14:57,14,Arena Green / SAP Center,Subscriber
342,288,1/13/2015 15:04,82,Broadway St at Battery St,602177,1/13/2015 14:59,77,Market at Sansome,Subscriber
392,882,1/13/2015 15:15,57,5th at Howard,602178,1/13/2015 15:00,60,Embarcadero at Sansome,Subscriber
507,411,1/13/2015 15:08,82,Broadway St at Battery St,602179,1/13/2015 15:01,71,Powell at Post (Union Square),Subscriber
562,232,1/13/2015 15:07,82,Broadway St at Battery St,602180,1/13/2015 15:03,74,Steuart at Market,Subscriber
343,539,1/13/2015 15:13,49,Spear at Folsom,602181,1/13/2015 15:04,76,Market at 4th,Subscriber
368,340,1/13/2015 15:11,47,Post at Kearny,602182,1/13/2015 15:06,55,Temporary Transbay Terminal (Howard at Beale),Subscriber
339,1139,1/13/2015 15:27,70,San Francisco Caltrain (Townsend at 4th),602183,1/13/2015 15:08,65,Townsend at 7th,Subscriber
357,412,1/13/2015 15:16,50,Harry Bridges Plaza (Ferry Building),602184,1/13/2015 15:09,61,2nd at Townsend,Subscriber
325,991,1/13/2015 15:27,51,Embarcadero at Folsom,602188,1/13/2015 15:10,71,Powell at Post (Union Square),Customer
354,447,1/13/2015 15:17,65,Townsend at 7th,602187,1/13/2015 15:10,67,Market at 10th,Subscriber
617,936,1/13/2015 15:27,51,Embarcadero at Folsom,602191,1/13/2015 15:11,71,Powell at Post (Union Square),Customer
377,668,1/13/2015 15:24,65,Townsend at 7th,602192,1/13/2015 15:12,47,Post at Kearny,Subscriber
677,582,1/13/2015 15:24,70,San Francisco Caltrain (Townsend at 4th),602197,1/13/2015 15:14,67,Market at 10th,Subscriber
507,878,1/13/2015 15:30,70,San Francisco Caltrain (Townsend at 4th),602198,1/13/2015 15:15,82,Broadway St at Battery St,Subscriber
568,539,1/13/2015 15:25,70,San Francisco Caltrain (Townsend at 4th),602203,1/13/2015 15:16,77,Market at Sansome,Subscriber
630,1503,1/13/2015 15:44,50,Harry Bridges Plaza (Ferry Building),602210,1/13/2015 15:18,71,Powell at Post (Union Square),Customer
421,490,1/13/2015 15:26,70,San Francisco Caltrain (Townsend at 4th),602209,1/13/2015 15:18,51,Embarcadero at Folsom,Subscriber
291,374,1/13/2015 15:25,39,Powell Street BART,602213,1/13/2015 15:19,67,Market at 10th,Customer
652,2683,1/13/2015 16:06,76,Market at 4th,602217,1/13/2015 15:21,54,Embarcadero at Bryant,Customer
